wavenumber_cm-1,intensity
500.0,2.3943303786357195e-223
501.75087543771883,1.7518228556604646e-220
503.5017508754377,1.228407272899451e-217
505.25262631315655,8.255448120361564e-215
507.00350175087544,5.317224689750373e-212
508.7543771885943,3.2822787692397497e-209
510.50525262631317,1.9418335907213124e-206
512.256128064032,1.1010185960361971e-203
514.0070035017509,5.983060603928708e-201
515.7578789394697,3.11600579506001e-198
517.5087543771886,1.5553180868393614e-195
519.2596298149075,7.440229008178563e-193
521.0105052526263,3.411139676917315e-190
522.7613806903452,1.4988522549068993e-187
524.512256128064,6.311960539635007e-185
526.2631315657829,2.5475097534837818e-182
528.0140070035018,9.854022972510302e-180
529.7648824412206,3.653065202822406e-177
531.5157578789394,1.2979184913263144e-174
533.2666333166583,4.41960607622061e-172
535.0175087543772,1.4423340431138643e-169
536.768384192096,4.511223046475439e-167
538.5192596298149,1.3522870963185774e-164
540.2701350675337,3.8849878870291534e-162
542.0210105052527,1.0696867080225505e-159
543.7718859429715,2.8227323357769722e-157
545.5227613806903,7.138861723240977e-155
547.2736368184092,1.7303518346323668e-152
549.0245122561281,4.019629690634309e-150
550.7753876938469,8.949192636739759e-148
552.5262631315658,1.909536019806774e-145
554.2771385692846,3.904973076838145e-143
556.0280140070035,7.65340026758363e-141
557.7788894447224,1.437596505196479e-138
559.5297648824412,2.5880090505831196e-136
561.28064032016,4.465198581256752e-134
563.0315157578789,7.383494806036761e-132
564.7823911955978,1.1701172481588043e-129
566.5332666333167,1.777227414388564e-127
568.2841420710355,2.587038221061718e-125
570.0350175087544,3.6091830439500616e-123
571.7858929464733,4.825709750665576e-121
573.5367683841921,6.183860936411975e-119
575.2876438219109,7.594592290203192e-117
577.0385192596298,8.939134029444776e-115
578.7893946973487,1.0083996179641268e-112
580.5402701350675,1.0902250031397594e-110
582.2911455727864,1.129655050744935e-108
584.0420210105052,1.1218164581974683e-106
585.7928964482242,1.0676871543110531e-104
587.543771885943,9.7389577693914e-103
589.2946473236618,8.513873741595628e-101
591.0455227613807,7.133262220869686e-99
592.7963981990995,5.727900125269638e-97
594.5472736368184,4.4080747602589586e-95
596.2981490745373,3.2512378051113625e-93
598.0490245122561,2.298236904041171e-91
599.799899949975,1.5569946775118501e-89
601.5507753876939,1.0109408384465458e-87
603.3016508254127,6.290868914641921e-86
605.0525262631315,3.7518184555612544e-84
606.8034017008504,2.1444665818628385e-82
608.5542771385693,1.1747434733410537e-80
610.3051525762882,6.167555869195295e-79
612.056028014007,3.1033405764956832e-77
613.8069034517258,1.4965529471610024e-75
615.5577788894448,6.916733375105432e-74
617.3086543271636,3.063770906063019e-72
619.0595297648824,1.3006422207565469e-70
620.8104052026013,5.291827971660572e-69
622.5612806403201,2.063478270434506e-67
624.312156078039,7.711527244646057e-66
626.0630315157579,2.7620225016047687e-64
627.8139069534767,9.481135376280464e-63
629.5647823911956,3.119175462874619e-61
631.3156578289145,9.834801282620988e-60
633.0665332666333,2.9719240081561547e-58
634.8174087043521,8.607085987822783e-57
636.568284142071,2.3890262174422155e-55
638.3191595797899,6.3552410082441e-54
640.0700350175088,1.6202777616117107e-52
641.8209104552276,3.9590707021255603e-51
643.5717858929465,9.27135874332145e-50
645.3226613306654,2.080845609710432e-48
647.0735367683842,4.47592373271014e-47
648.824412206103,9.227240619070255e-46
650.5752876438219,1.823086877290101e-44
652.3261630815407,3.4521466556016996e-43
654.0770385192596,6.264947918619526e-42
655.8279139569785,1.0896626127096707e-40
657.5787893946973,1.8164062801789492e-39
659.3296648324163,2.901885691246536e-38
661.0805402701351,4.443180648785773e-37
662.8314157078539,6.520096243831759e-36
664.5822911455728,9.169811529144368e-35
666.3331665832916,1.2359849487146977e-33
668.0840420210105,1.5966595618280676e-32
669.8349174587294,1.9767777471373824e-31
671.5857928964482,2.345577224544333e-30
673.3366683341671,2.6673991317112293e-29
675.087543771886,2.9071848963711397e-28
676.8384192096048,3.0367125369976215e-27
678.5892946473236,3.0400525681038945e-26
680.3401700850425,2.9167881597316643e-25
682.0910455227613,2.6821006346342573e-24
683.8419209604803,2.3636960895347923e-23
685.5927963981991,1.9964323263175793e-22
687.3436718359179,1.6160840368091533e-21
689.0945472736369,1.2537752126970199e-20
690.8454227113557,9.322272895394518e-20
692.5962981490745,6.643093110904552e-19
694.3471735867934,4.536963272819901e-18
696.0980490245122,2.9696590167252315e-17
697.8489244622311,1.862920434547261e-16
699.59979989995,1.1200268352065884e-15
701.3506753376688,6.453702652643058e-15
703.1015507753878,3.5639850922017876e-14
704.8524262131066,1.8862932477992875e-13
706.6033016508254,9.568171417492938e-13
708.3541770885442,4.6515221284286996e-12
710.1050525262631,2.167243172898108e-11
711.8559279639819,9.677576320764982e-11
713.6068034017009,4.141636475578149e-10
715.3576788394197,1.698727666931242e-09
717.1085542771385,6.677623916062247e-09
718.8594297148575,2.5157446932024747e-08
720.6103051525763,9.083591370810494e-08
722.3611805902951,3.1433665573279603e-07
724.112056028014,1.0425067701174648e-06
725.8629314657328,3.3136692443745067e-06
727.6138069034517,1.0094524070687368e-05
729.3646823411706,2.9471955851703218e-05
731.1155577788894,8.246667561368371e-05
732.8664332166084,0.00022115381621836907
734.6173086543272,0.0005684035862937443
736.368184092046,0.0014001211073779122
738.1190595297649,0.0033053756150268924
739.8699349674837,0.007478637072567767
741.6208104052025,0.016217000164590593
743.3716858429215,0.03370272436727538
745.1225612806403,0.06712834204434551
746.8734367183591,0.12814251953490072
748.6243121560781,0.23443746819866304
750.3751875937969,0.41106188807388
752.1260630315157,0.690770575111753
753.8769384692346,1.11251755730969
755.6278139069534,1.7172216097233748
757.3786893446722,2.540342326258272
759.1295647823912,3.601675417400684
760.88044022011,4.893992814049848
762.631315657829,6.373360897669832
764.3821910955478,7.954632576011444
766.1330665332666,9.515205367957043
767.8839419709855,10.908439740563242
769.6348174087043,11.985427706011315
771.3856928464231,12.620915689135238
773.1365682841421,12.737219221714437
